"rt","url","trial_role","trial_type","trial_index","time_elapsed","internal_node_id","participantId","conditionId","view_history","stimulus","key_press","button_pressed","correct_answer","correct_response","success","vowel","wordStim","speaker","sentNum","order","step","speakerIdentity","speakerGuise","guiseName","raised_answer","key_response","raised_response"
"62032","micr.axb.consent.html","consent","external-html","0","62063","0.0-0.0","5fa62963d5f64b209953d321","condA","","","","","","","","","","","","","","","","","","",""
"145582","","instructions","instructions","1","207643","0.0-1.0","5fa62963d5f64b209953d321","condA","[{""page_index"":0,""viewing_time"":107959},{""page_index"":1,""viewing_time"":20678},{""page_index"":2,""viewing_time"":16944}]","","","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","2","208147","0.0-2.0-0.0-0.0","5fa62963d5f64b209953d321","condA","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4859","","tonetest","audio-button-response","3","213015","0.0-2.0-0.0-1.0","5fa62963d5f64b209953d321","condA","","../../src/audio/toneTest_3.wav","","2","2","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","4","213516","0.0-2.0-0.0-0.1","5fa62963d5f64b209953d321","condA","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"5747","","tonetest","audio-button-response","5","219265","0.0-2.0-0.0-1.1","5fa62963d5f64b209953d321","condA","","../../src/audio/toneTest_1.wav","","2","2","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","6","219767","0.0-2.0-0.0-0.2","5fa62963d5f64b209953d321","condA","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4585.000000000029","","tonetest","audio-button-response","7","224352","0.0-2.0-0.0-1.2","5fa62963d5f64b209953d321","condA","","../../src/audio/toneTest_2.wav","","1","1","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","8","224853","0.0-2.0-0.0-0.3","5fa62963d5f64b209953d321","condA","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4502","","tonetest","audio-button-response","9","229356","0.0-2.0-0.0-1.3","5fa62963d5f64b209953d321","condA","","../../src/audio/toneTest_5.wav","","0","0","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","10","229857","0.0-2.0-0.0-0.4","5fa62963d5f64b209953d321","condA","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4869.999999999971","","tonetest","audio-button-response","11","234728","0.0-2.0-0.0-1.4","5fa62963d5f64b209953d321","condA","","../../src/audio/toneTest_1.wav","","2","2","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","12","235229","0.0-2.0-0.0-0.5","5fa62963d5f64b209953d321","condA","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4730","","tonetest","audio-button-response","13","239960","0.0-2.0-0.0-1.5","5fa62963d5f64b209953d321","condA","","../../src/audio/toneTest_3.wav","","2","2","true","","","","","","","","","","","","",""
"8692.99999999997","","instructions","html-keyboard-response","14","248654","0.0-2.0-1.0-0.0","5fa62963d5f64b209953d321","condA","","<div class=""vertical-center""><p><b>Your score was 6/6.</b></p><p>If you scored below 5, please ensure that you are wearing properly functioning headphones and in a quiet location free of distractions. Then, press SPACE to repeat the audio test. </p><p><i>If you scored 5 or above, press SPACE to continue to the main experiment.</i></p></div>","32","","","","","","","","","","","","","","","",""
"","","","fullscreen","15","252033","0.0-3.0","5fa62963d5f64b209953d321","condA","","","","","","","true","","","","","","","","","","","",""
"40403","","instructions","instructions","16","292437","0.0-4.0","5fa62963d5f64b209953d321","condA","[{""page_index"":0,""viewing_time"":40403}]","","","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","17","292938","0.0-5.0-0.0","5fa62963d5f64b209953d321","condA","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","","","",""
"14713","","practice","audio-keyboard-response","18","307652","0.0-5.0-1.0","5fa62963d5f64b209953d321","condA","","resources/audio/practiceStim/S1_AU_14_axb_Step-6.wav","49","","","","","","","","","","","","","","","",""
